ticker,Open,High,Low,Close,Volume,Money,Change
106520,0,0,0,503,0,0,0.0
068930,7910,8120,7910,7930,57572,459698300,-0.13
033130,3960,3990,3750,3795,941191,3611685145,-4.17
105740,12950,13250,12750,12850,79266,1031018250,0.0
263020,10800,10850,10350,10550,81099,855578150,-2.76
290550,21300,21450,20450,20650,57835,1209077300,-1.67
187220,6990,7000,6850,6940,20279,139878600,-0.72
131180,1745,1745,1705,1715,174471,299495150,-1.72
317120,11250,11450,11050,11150,81106,907542550,-1.33
042510,4500,4565,4330,4365,2019367,9002133640,-1.58
300120,24700,25800,24350,25200,94416,2354332750,2.02
171120,11450,11650,10400,10600,764174,8258383850,-8.62
069540,0,0,0,5420,0,0,0.0
347700,12600,12800,11850,11900,471729,5724404100,-5.56
214260,38200,38450,35200,35950,257895,9445941600,-5.02
171010,6340,6520,6320,6430,56527,361191410,1.1
084650,27800,27800,24900,24900,1585081,42126922150,-11.7
217500,5230,5240,4990,5100,658203,3350395435,-1.92
033600,0,0,0,179,0,0,0.0
141080,51700,53300,50500,51200,281292,14536865000,-2.48
060300,0,0,0,1830,0,0,0.0
038390,24600,27050,24300,26550,305210,7900076350,9.48
294140,8940,8950,8680,8760,179974,1584205430,-1.68
228670,52700,52700,51700,51800,28079,1465515300,-0.77
228850,13100,13450,12900,13250,68561,905105250,1.92
281740,4010,4025,3910,3940,614411,2431656380,-1.5
277810,25400,25450,24200,24400,137710,3386116500,-3.94
215100,5470,5470,5270,5280,338219,1814233000,-2.58
