Date,Open,High,Low,Close,Volume
2021-03-16,73800,73800,72800,73500,2389
2021-03-17,73500,73600,72400,73300,3227
2021-03-18,73700,73700,72600,73000,2485
2021-03-19,72900,73000,71800,73000,4658
2021-03-22,73000,73000,71800,73000,3178
2021-03-23,72900,73100,71700,72300,5176
2021-03-24,72300,72500,71500,72500,3386
2021-03-25,72800,73100,72100,72800,3458
2021-03-26,72900,74300,72700,74300,7177
2021-03-29,74600,74600,72800,74200,5885
2021-03-30,74200,74900,73800,74300,3519
2021-03-31,74200,74900,74200,74700,3272
2021-04-01,74700,74900,73800,74000,2469
2021-04-02,74100,74100,73400,73800,3954
2021-04-05,73800,73900,72700,73700,3526
2021-04-06,73700,74300,73500,74000,4369
2021-04-07,74200,74500,73400,74500,7717
2021-04-08,74500,74500,73300,74000,8925
2021-04-09,74200,74300,73600,74300,10350
2021-04-12,74300,74400,73800,74300,3015
2021-04-13,74500,76100,74200,75700,12553
2021-04-14,75400,76100,75100,75700,4720
2021-04-15,75200,77300,74900,77300,31807
2021-04-16,77400,77900,76900,77200,6832
2021-04-19,77500,77700,76800,77300,13467
2021-04-20,76800,77900,76800,77800,3283
2021-04-21,77500,77700,76400,76900,10124
2021-04-22,76800,77200,76400,76400,6241
2021-04-23,76400,77100,76000,77100,4393
2021-04-26,77800,78200,77100,78200,6796
2021-04-27,78200,78700,77900,78300,61705
2021-04-28,78600,78600,77100,77800,6105
2021-04-29,77800,78400,77100,77700,5163
2021-04-30,77700,78200,76900,77700,5554
2021-05-03,77800,79100,77400,78600,8874
2021-05-04,79200,80000,78800,79800,13051
2021-05-06,79800,81000,79400,81000,10030
2021-05-07,81200,81800,80400,81100,7593
2021-05-10,82100,86100,81900,85400,18811
2021-05-11,85300,87400,84700,87100,15782
2021-05-12,87200,87600,84400,85200,12610
2021-05-13,83600,88700,83200,85800,20319
2021-05-14,87600,87600,84000,84700,10541
2021-05-17,85500,85900,83000,85700,10682
2021-05-18,85100,87600,85100,86800,5565
2021-05-20,87400,88000,85900,86700,9193
2021-05-21,86700,88000,84700,85500,12691
2021-05-24,85700,86800,84100,86800,22006
2021-05-25,86900,89100,86900,89000,17093
2021-05-26,88400,90000,88100,89100,6205
2021-05-27,89100,89800,88000,89100,11539
2021-05-28,89200,89400,87100,88400,4872
2021-05-31,87600,91200,87600,91200,14172
2021-06-01,91200,92400,90200,92000,7240
2021-06-02,91800,92100,90800,92100,8938
2021-06-03,92400,92400,90200,92400,4866
2021-06-04,92200,92200,90700,91500,6800
2021-06-07,91500,91700,90700,91600,4828
2021-06-08,91600,91800,90600,91800,9144
2021-06-09,92000,92000,90000,90000,7267
2021-06-10,90000,90700,89700,90600,7340
2021-06-11,91000,91000,89500,90500,7649
2021-06-14,90500,90500,89300,90300,2957
2021-06-15,90300,90300,88500,88700,9865
2021-06-16,88500,89400,88500,89100,6182
2021-06-17,89000,89900,87900,89900,8658
2021-06-18,89800,91200,89100,89100,7226
2021-06-21,89900,89900,87700,88800,6393
2021-06-22,89000,89900,88500,89900,3986
2021-06-23,89500,89900,88700,89800,4857
2021-06-24,89400,89800,88400,89400,9325
2021-06-25,89400,89800,89100,89800,5589
2021-06-28,89800,91200,89000,91100,7806
2021-06-29,91100,91100,89700,89900,5185
2021-06-30,89900,90300,89300,90300,5393
2021-07-01,90300,90400,88700,89500,13828
2021-07-02,89000,89500,88000,88000,9025
2021-07-05,88400,88400,87500,87500,3741
2021-07-06,87900,88300,87500,87900,3090
2021-07-07,87900,87900,85700,86900,13885
2021-07-08,86900,86900,85600,86500,4861
2021-07-09,85500,85800,83500,84700,13881
2021-07-12,84200,85800,84200,85800,3648
2021-07-13,85200,87400,85200,87400,3764
2021-07-14,86800,87400,86400,87400,6651
2021-07-15,86600,89300,86600,89300,7755
2021-07-16,89000,89000,87900,88500,3644
2021-07-19,88400,88400,87100,87500,2601
2021-07-20,86300,87000,85900,86800,4504
2021-07-21,86500,87000,84500,85200,5509
2021-07-22,85200,86300,85200,86100,2383
2021-07-23,86500,86500,85700,86000,1492
2021-07-26,86800,86800,85600,85800,2060
2021-07-27,86500,86900,85500,86000,5185
2021-07-28,85500,85900,83700,85300,11202
2021-07-29,85500,87500,84800,86100,18887
2021-07-30,86500,86500,84700,85300,9524
2021-08-02,85200,86000,85100,85700,6348
2021-08-03,85100,85900,83900,84700,13591
2021-08-04,84300,86300,84200,86100,15717
2021-08-05,86200,86200,85100,85800,4463
2021-08-06,86300,87000,85700,86700,3414
2021-08-09,86700,86700,84900,84900,14164
2021-08-10,85500,86000,84700,85300,28849
2021-08-11,85500,85500,83000,84500,11444
2021-08-12,84700,84800,83600,84700,6335
2021-08-13,84000,84500,82500,83700,10519
2021-08-17,83200,83800,81100,82200,7371
2021-08-18,81300,84000,81300,83900,6479
2021-08-19,83700,83700,80500,80600,12322
2021-08-20,80800,81500,78000,79400,14771
2021-08-23,79900,81500,79400,80800,5643
2021-08-24,81400,82900,81400,82500,4851
2021-08-25,82900,84100,81600,84100,4621
2021-08-26,83500,84100,82700,83800,2841
2021-08-27,83500,84000,81600,84000,2882
2021-08-30,84400,84500,83300,84100,2714
2021-08-31,84500,84500,83400,84500,3017
2021-09-01,84500,85000,84000,84700,1880
2021-09-02,84700,85400,84200,85000,8217
2021-09-03,85000,86200,84800,86200,6792
2021-09-06,86200,86600,85500,86500,4392
2021-09-07,86400,86700,85400,86600,2465
